Composition,Delta_H,Pressure,Temperature
La0.13Ce0.35Pr0.52Co5,40,3.6,50
LaCo5,40,0.2,50
PrCo5,40,0.49,20
MgNi,40,0,25
Gd2Co7,40,6,100
ZrNi,40.1,0.2,250
ZrCoCr,40.2,0.7,50
Tb2Co7,40.4,2,50
Ti.6Zr.4Mn1.9Cu.1,40.6,0.5,20
YNi4Al,40.8,3,60
TiFe.8Ni.15V.05,41,7,150
Ti.7Zr.3Mn1.9Mo.1,41,0.9,17
La0.1Ce0.9Co5,41,0.84,20
La0.66Ce0.2Pr0.14Co5,41,0.9,50
TiFe.8Ni.2,41.2,0.33,50
TiFe.5Co.5,41.4,12,150
GdNi4Al,41.5,0.2,20
TiFe.8Ni.2,41.9,0.28,50
ZrCr2,42,0,27
La0.7Ce0.3Co5,42,0.17,20
LaNi3.92Al.98,42,5,250
TiCo.5Fe.5,42.3,4,100
LaCo5,42.3,0.06,30
LaCo5,42.4,,
LaNi4.25Co.5Sn.25,42.5,0.5,25
GdCo3,42.6,0.02,20
LaCu5,42.7,5,101
NdCo5,42.7,0.7,22
ErFe3,42.9,1.15,150
(V.89Ti.11).95Fe.05,42.9,4.5,40
HfCo,43,1,270
La0.6Pr0.4Co5,43,0.17,20
(V.9Ti.1).95Fe.05,43.2,9.3,80
Ce2Co7,43.3,0.9,100
La.5Ca.5Ni3,43.5,0.6,20
YNi2,44,,
La0.2Ce0.8Co5,44,0.72,20
TbCo3,44,1.5,100
YCo3,44,0.45,75
LaNi4.25Al.75,44.1,0.05,40
LaRh2,44.3,2,244
LaNi4.5Al.5,44.4,0.3,25
HoFe3,44.6,0.63,150
ThNi2,44.7,,
Y5Si3C.3,44.7,,
LaNiCo4,45,0.15,40
GdCo3,45,3,150
ThNi,45.3,0.01,40
ZrCr2Co.8,45.3,2,100
Ti.8Zr.2Mn1.5V.5,45.6,0.5,30
Pd.7Ag.3,46,0,50
Ti.8Zr.2V.6Mn.2Pd.1Ni.8Fe.2,46.5,0.01,25
ZrCr2Fe.8,46.5,0.8,100
ThCo,46.8,0.05,40
TiCo.5Mn.5,46.9,3.2,120
TbCo3,46.9,0.6,75
La0.65Ce0.28Pr0.07Co5,47,1.1,50
ThNiAl,47,0.01,40
Ti3Al,47,0.8,50
Zr7Ni10,47,0.25,60
Nb.95Cr.05,47.2,0.26,77
Nb.97Cr.03,47.2,0.45,77
ZrNi,47.5,0.01,300
Ti.6Zr.4Mn1.4Cr.4Cu.2,48,0.3,20
GdCo2,48,2,200
TbFe3,48,0.23,150
UNiAl,48,,
ZrFeV,48.1,0,50
V.8Ti.2,48.1,2,80
TiFe.6Ni.4,48.6,0.04,50
GdRh2,49,6,142
ZrFeCr,49.4,0.1,50
ZrCoV,49.4,0,50
HfNi,50,0.02,50
MgNi0.86Cr0.03,50,,
ZrCr1.2Fe.8,50.2,0.75,70
GdFe3,50.4,0.18,150
LiPd2,51,0.16,300
ZrMn2,53.2,0.03,80
Y5Si3,53.3,0.3,398
TiCo,54,2,152
GdCo2,54,,
PrCo3,54.2,0.02,100
NdCo3,54.5,0.29,20
Pr2Co7,54.6,2,150
UCo,55,0.08,150
CaNi4B,55.7,0.01,27
Mg2Ni0.75Ti0.25,56,1.2,250
Mg2Ni0.75Ti0.25,56,1.2,250
ErFe2,56.2,0.01,130
ZrCr1.2Ni.8,56.4,0.25,70
Nd2Co7,56.7,0.9,125
TmFe2,56.8,0,80
TiCo,57.4,4,155
